Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
L-Arginine,200605_Smp_GBTFate2MT5-IS_A,L-Arginine_13C-0 15N-1,21.58,83981,0,42349,5.5,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT5-IS_B,L-Arginine_13C-0 15N-1,16.73,12325,0,10804,6.9,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT5-IS_C,L-Arginine_13C-0 15N-1,21.55,80110,0,36769,8.7,L-Arginine
L-Arginine,200605_Smp_GBTFate2MTlong-IS_A,L-Arginine_13C-0 15N-1,19.08,55254,0,8164,-2.9,L-Arginine
L-Arginine,200605_Smp_GBTFate2MTlong-IS_B,L-Arginine_13C-0 15N-1,18.99,137577,4453,12734,-3.8,L-Arginine
L-Arginine,200605_Smp_GBTFate2MTlong-IS_C,L-Arginine_13C-0 15N-1,18.99,70610,0,8094,-3.1,L-Arginine
L-Arginine,200605_Std_4uMStdsMix1InH2O_1,L-Arginine_13C-1 15N-0,18.76,5301309,0,153716,-2.7,L-Arginine
L-Arginine,200605_Std_4uMStdsMix1InH2O_2,L-Arginine_13C-1 15N-0,19.25,7156011,0,165649,-3.9,L-Arginine
L-Arginine,200605_Std_4uMStdsMix1InMatrix_1,L-Arginine_13C-1 15N-0,18.58,5547458,0,175940,-2.8,L-Arginine
L-Arginine,200605_Std_4uMStdsMix1InMatrix_2,L-Arginine_13C-1 15N-0,19.11,8101577,0,207479,-3.6,L-Arginine
L-Arginine,200605_Std_4uMStdsMix2InH2O_1,L-Arginine_13C-1 15N-0,18.31,0,0,0,#N/A,L-Arginine
L-Arginine,200605_Std_4uMStdsMix2InH2O_2,L-Arginine_13C-1 15N-0,18.2,0,0,0,#N/A,L-Arginine
L-Arginine,200605_Std_4uMStdsMix2InMatrix_1,L-Arginine_13C-1 15N-0,18.67,322123,0,18048,-2,L-Arginine
L-Arginine,200605_Std_4uMStdsMix2InMatrix_2,L-Arginine_13C-1 15N-0,19.14,626379,0,17019,-3,L-Arginine
L-Arginine,200605_Std_H2OinMatrix_1,L-Arginine_13C-1 15N-0,18.7,348280,0,23526,-2.5,L-Arginine
L-Arginine,200605_Std_H2OinMatrix_2,L-Arginine_13C-1 15N-0,19.13,522552,0,17196,-3.8,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full1,L-Arginine_13C-1 15N-0,18.66,918819,0,33815,-2.3,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full2,L-Arginine_13C-1 15N-0,18.84,609783,0,25666,-1.9,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full3,L-Arginine_13C-1 15N-0,18.99,667310,0,28545,-2.8,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full4,L-Arginine_13C-1 15N-0,19.03,899150,0,26311,-4,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full5,L-Arginine_13C-1 15N-0,19.08,792157,0,27244,-3.8,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Full6pos,L-Arginine_13C-1 15N-0,19.07,217321,60614,10028,-3.8,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half1,L-Arginine_13C-1 15N-0,18.66,428791,0,18446,-1.7,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half2,L-Arginine_13C-1 15N-0,18.88,273895,0,13368,-2,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half3,L-Arginine_13C-1 15N-0,19.27,249814,0,10682,-2.3,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half4,L-Arginine_13C-1 15N-0,19.01,332896,0,12930,-4,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half5,L-Arginine_13C-1 15N-0,19.24,458327,0,13769,-3.2,L-Arginine
L-Arginine,200605_Poo_TruePooGBT_Half6pos,L-Arginine_13C-1 15N-0,19.08,163160,0,9799,-3.5,L-Arginine
L-Arginine,200605_Poo_QC2_1,L-Arginine_13C-1 15N-0,18.68,4617533,0,148885,-2.7,L-Arginine
