Compound.Name,Emperical.Formula,Column,m.z,z,C,N,this.N,possibilities,names.isotopes,iso.mz,Compound.and.Iso.name
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-3 15N-3,899.54377,Chlorophyll_13C-3 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-4 15N-3,900.547124,Chlorophyll_13C-4 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-5 15N-3,901.550478,Chlorophyll_13C-5 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-6 15N-3,902.55383200000006,Chlorophyll_13C-6 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-7 15N-3,903.557186,Chlorophyll_13C-7 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-8 15N-3,904.5605400000001,Chlorophyll_13C-8 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-9 15N-3,905.563894,Chlorophyll_13C-9 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-10 15N-3,906.5672480000001,Chlorophyll_13C-10 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-11 15N-3,907.570602,Chlorophyll_13C-11 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-12 15N-3,908.5739560000001,Chlorophyll_13C-12 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-13 15N-3,909.57731,Chlorophyll_13C-13 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-14 15N-3,910.5806640000001,Chlorophyll_13C-14 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-15 15N-3,911.584018,Chlorophyll_13C-15 15N-3
