MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
Betonicine_13C-0 15N-0,Betonicine,Fate1,4,Smp,C,0.0867790527710135,1200,2,4.5,4.25,0.021450624790957593
Betonicine_13C-0 15N-0,Betonicine,Fate1,50,Smp,A,0.07657908806409465,900,2,50,14,0.01892932951493668
Betonicine_13C-0 15N-0,Betonicine,Fate1,50,Smp,B,0.04589811111039634,900,2,50,14,0.011345401091675172
Betonicine_13C-0 15N-0,Betonicine,Fate1,50,Smp,C,0.04623552628092235,900,2,50,14,0.01142880562296026
Betonicine_13C-0 15N-0,Betonicine,Fate1,8,Smp,A,0.032451182295350156,1600,2,9,4.5,0.008021499580979955
Betonicine_13C-0 15N-0,Betonicine,Fate1,8,Smp,B,0.05883474838471708,1600,2,9,4.5,0.014543165337390264
Betonicine_13C-0 15N-0,Betonicine,Fate1,8,Smp,C,0.085924536654992,1600,2,9,4.5,0.021239399800625287
Betonicine_13C-0 15N-0,Betonicine,Fate1,96,Smp,A,0.03776810129606321,800,1.9,98,48,0.009827127437581977
Betonicine_13C-0 15N-0,Betonicine,Fate1,96,Smp,B,0.030200585753302575,800,1.8,98,48,0.008294646804155207
Betonicine_13C-0 15N-0,Betonicine,Fate1,96,Smp,C,0.0632760946407454,800,2,98,48,0.01564100691393039
Betonicine_13C-0 15N-0,Betonicine,Fate2,0,Smp,A,0.021000212574613094,700,2,0.3,0,0.005190972545610029
Betonicine_13C-0 15N-0,Betonicine,Fate2,0,Smp,B,0.01955370176840507,700,2,0.3,0,0.0048334143611261544
Betonicine_13C-0 15N-0,Betonicine,Fate2,0,Smp,C,0.020066207249601096,700,2,0.3,0,0.0049600988826713965
Betonicine_13C-0 15N-0,Betonicine,Fate1,NA,Blk,A,NA,NA,NA,NA,NA,NA
Betonicine_13C-0 15N-0,Betonicine,Fate1,NA,Blk,B,NA,NA,NA,NA,NA,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,12,Smp,A,NA,1900,2,13,7,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,12,Smp,B,NA,1900,2,13,7,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,12,Smp,C,NA,1900,2,13,7,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,24,Smp,A,NA,700,2,25,12,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,24,Smp,B,NA,700,2,25,12,NA
