Isotopologue,Experiment,p.value,sig
Proline betaine_13C-0 15N-1,Fate2,0.09935430676036344,FALSE
Proline betaine_13C-1 15N-0,Fate1,0.04571219077755405,TRUE
Proline betaine_13C-1 15N-0,Fate2,0.0797400237160323,FALSE
Sarcosine_13C-0 15N-0,Fate1,0.00649972329081782,TRUE
Sarcosine_13C-0 15N-0,Fate2,0.008120825859579902,TRUE
Sarcosine_13C-1 15N-0,Fate1,1.100560334621612e-5,TRUE
Sarcosine_13C-3 15N-1,Fate1,0.011239543333476258,TRUE
Sarcosine_13C-3 15N-1,Fate2,0.008120825859579902,TRUE
Taurine_13C-0 15N-0,Fate1,9.414494247007192e-6,TRUE
Taurine_13C-0 15N-0,Fate2,3.4453412848355655e-4,TRUE
Taurine_13C-0 15N-1,Fate1,1.0663024307404874e-5,TRUE
Taurine_13C-0 15N-1,Fate2,4.714548053893456e-5,TRUE
Taurine_13C-1 15N-0,Fate1,1.4925017513580776e-4,TRUE
Taurine_13C-1 15N-0,Fate2,0.008643094277980136,TRUE
Trehalose_13C-0,Fate1,0.3399255132445319,FALSE
Trehalose_13C-0,Fate2,0.358598220970041,FALSE
Trigonelline_13C-0 15N-0,Fate1,4.110378552194822e-12,TRUE
Trigonelline_13C-0 15N-0,Fate2,5.979206508708644e-4,TRUE
Trigonelline_13C-0 15N-1,Fate1,5.0044696844733776e-5,TRUE
Trigonelline_13C-0 15N-1,Fate2,1.2008199808571553e-4,TRUE
Trigonelline_13C-1 15N-0,Fate1,6.8111163272124456e-15,TRUE
Trigonelline_13C-1 15N-0,Fate2,6.531235982506723e-4,TRUE
Trigonelline_13C-1 15N-1,Fate1,0.002436209764791811,TRUE
Trigonelline_13C-1 15N-1,Fate2,0.5980421734540291,FALSE
Trigonelline_13C-2 15N-0,Fate1,2.425511226652051e-9,TRUE
Trigonelline_13C-2 15N-0,Fate2,1.287455762302837e-7,TRUE
Trigonelline_13C-3 15N-0,Fate1,0.1785310194232544,FALSE
Trigonelline_13C-3 15N-0,Fate2,0.6058269640616467,FALSE
Trimethylamine N-oxide_13C-0 15N-0,Fate1,1.2575437137307768e-9,TRUE
Trimethylamine N-oxide_13C-0 15N-0,Fate2,1.036781131444773e-9,TRUE
Trimethylamine N-oxide_13C-0 15N-1,Fate1,8.571020702578667e-5,TRUE
Trimethylamine N-oxide_13C-0 15N-1,Fate2,0.04408282946216072,TRUE
Trimethylamine N-oxide_13C-1 15N-0,Fate1,5.769936658414539e-6,TRUE
Trimethylamine N-oxide_13C-1 15N-0,Fate2,0.2648516320664528,FALSE
Trimethylamine N-oxide_13C-2 15N-0,Fate1,0.9592631001850367,FALSE
Trimethylamine N-oxide_13C-2 15N-0,Fate2,9.010798403207588e-4,TRUE
Trimethylamine N-oxide_13C-2 15N-1,Fate1,1.0228836721594051e-9,TRUE
Trimethylamine N-oxide_13C-2 15N-1,Fate2,3.20155595114536e-5,TRUE
Trimethylamine N-oxide_13C-3 15N-1,Fate1,1.2744356862713895e-9,TRUE
Trimethylamine N-oxide_13C-3 15N-1,Fate2,1.065262371762218e-9,TRUE
